id,productName,productBarcode,productCost,productPrice,productDescription,productPicturePath,productSuperBarcode,productChildBarcode,productQuantity,productDiscountValue,productNumberOfChild,productPromotion,productAddDate,productLatsEditDate,new_tablecol,productOldCost,productOldPrice,buyFrom
1,"รีเจนซี่ 700มล (กลม)",12001,490,520,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
2,"รีเจนซี่แบน 1ลัง",12002,2820,2900,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
3,"รีเจนซี่ (แบน)",12003,245,265,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
4,rrrrrrrrrrrrrrrrr,112233,22.8764,878787878.767,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
5,1212,121212,12,1212,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
6,เนสกาแฟเอสเปรสโซแคน180มล.X30กระป๋อง,157469,344,355,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
7,เนสกาแฟลาเต้แคน180มล.X30,157484,355,355,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
8,แป้งตรางูคลาสสิค140กรัม,12411771,23.83,30,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
9,"ออริด้าเกลือแร่ซอง​ 3.3กรัม",12994821,4,5,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
10,เชือกฟากพลาสติก3นิ้วx6,20487379,340,340,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
11,ซองขาวเบอร์9ตราคิวบิช80แกรม200ซอง,20953034,129,135,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
12,"สบู่เบนเน็ต C%E 130กรัม X4 ก้อน",21128714,152,165,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
13,สบู่สมุนไพรกลั่นรอว์ร่า170กรัมX6,21184307,169,179,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
14,แอลกอฮอล์70%60ซีซีX6,21758614,47,55,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
15,ยาอมสมุนไพรหงษ์ทอง(รวมรส)x24,21907364,148,155,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
16,แปรงสีฟันออรัลบีเจนเทิลกัมแคร์X4+2,28377054,128,128,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
17,โรลออนเอกซ์ตร้าไวท์25มล.,42131946,41,45,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
18,โรลออนนีเวียเมนไวท์เทนนิ่ง25มล,42184706,44.75,45,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
19,"นีเวียโรลออล คลูคลิก25มล.",42185437,35.6,45,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
20,โรลออนนีเวีฟอร์เมนอินวิซิเบิ้ลฟอร์แบล็คแอนด์ไวท์25มล.,42217459,35.6,45,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
21,"นีเวีย โรลออน เพิร์ล&บิวตี้ 12 มล.",42288565,24,35,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
22,"ใบมีดโกน ขนนกX6",45176531,22,30,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
23,กาวิสคอน,50230112,18.33,25,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
